Product Name,Benefits of this Product
Welzi 500mg Tablet,"Treatment of Bacterial infectionsWelzi 500mg Tablet is an antibiotic medicine that can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach, and intestines. It can also be used to treat sexually transmitted diseases. It stops the growth of the bacteria causing the infection and clears the infection. Take it for as long as prescribed by the doctor and avoid skipping doses. This will make sure that all bacteria are killed and they do not become resistant."
Cibrim Z Eye Drops,"Treatment of GlaucomaGlaucoma is an eye disease that damages the optic nerve which is essential for proper vision. This damage is often caused by an abnormally high pressure in the eye. Cibrim Z Eye Drops is used to reduce swelling and pressure inside the eye. This helps prevent complications of glaucoma such as blindness and improves the vision. This medicine may be used alone or with other eye drops. Glaucoma cannot be prevented. Frequent monitoring, regular checkups can help detect the disease in its early stages."
Ximed 200mg Tablet,"Treatment of Bacterial infectionsXimed 200mg Tablet is an antibiotic medicine that works by killing the infection-causing bacteria in your body. It is effective for bacterial infections of the lungs, throat, and urinary tract among others. This medicine usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better. Stopping it early may make the infection come back and harder to treat."
Ailen-DSR Capsule,"Treatment of Gastroesophageal reflux disease (Acid reflux)Gastroesophageal reflux disease (GERD) is a chronic (long-term) condition in which there is an excess production of acid in the stomach. Ailen-DSR Capsule reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You should take it exactly as it is prescribed for it to be effective. Some simple lifestyle changes can help reduce the symptoms of GERD. Think about what foods trigger heartburn and try to avoid them; eat smaller, more frequent meals; try to lose weight if you are overweight and try to find ways to relax. Do not eat within 3-4 hours of going to bed.Treatment of Peptic ulcer diseasePeptic ulcer disease is a condition in which painful sores or ulcers develop in the inner lining of the stomach or gut (intestine). Ailen-DSR Capsule reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking the medicine as it is prescribed for it to be effective, even if the symptoms seem to disappear."
Semi-Amaryl Tablet,"Treatment of Type 2 diabetes mellitusSemi-Amaryl Tablet increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking Semi-Amaryl Tablet regularly along with proper diet and exercise will help you live a normal, healthy life."
Atolife F 10mg/160mg Tablet,Treatment of High cholesterolAtolife F 10mg/160mg Tablet is a combination of two medicines that work by reducing the amount of bad cholesterol (LDL) and raising the amount of good cholesterol (HDL) in your blood. Lowering the amount of cholesterol reduces the chances of heart diseases and helps you remain healthier for longer.Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well.Prevention of Heart attackHigh levels of cholesterol can cause your blood vessels to narrow (atherosclerosis) and put you at risk of having a stroke or heart disease. Lowering the amount of this fat reduces the chances of this happening and helps you remain healthier for longer. Keep taking this medicine even if you feel well.
Biglac-R Sachet,"Treatment of DiarrheaDiarrhea refers to the passing of loose, watery stools three or more times a day due to an infection in the gastrointestinal tract. It may also occur as a result of prolonged intake of antibiotics (Antibiotic-induced diarrhea). Biglac-R Sachet reduces the excessive secretion of water and electrolytes and helps replenish the lost fluids and salts. It also helps treat loose stools and prevents abdominal distension or flatulence. The presence of probiotics in Biglac-R Sachet helps to replenish the gut flora (good bacteria) and renders relief.Your child needs to take this medicine regularly to get the most out of it. Also, ensure that your child drinks plenty of fluids to stay hydrated while taking this medicine."
Fyn-Head Tablet,"Treatment of MigraineMigraine is a type of headache that causes severe throbbing pain on one side of the head. The pain is due to widening of blood vessels in the head. Fyn-Head Tablet gives you relief from migraine. It narrows the blood vessels in the head and blocks the release of certain chemicals in the brain that causes pain. By reducing the frequency of headaches, it can help you carry out your daily activities and have a better quality of life.Take it as it is prescribed to get the most benefit. Do not take more or for longer than needed as it can cause side-effects."
VERTEASE 20MG/40MG TABLET,"Treatment of VertigoVertigo means a spinning sensation or dizziness that is triggered due to frequent movement. It can happen due to many reasons but it may also occur without any underlying disease. VERTEASE 20MG/40MG TABLET helps treat this sensation effectively. If you feel dizzy while getting up from the bed, sit for a while and then rise slowly to avoid having an accidental fall. It will be more effective if you take this medicine regularly as prescribed so try not to miss doses. It may take a couple of weeks before you notice any improvements but keep taking it, even if you do feel better, until your doctor advises it is safe to stop."
Fentinol 100mg Tablet,"Treatment and prevention of Epilepsy/SeizuresFentinol 100mg Tablet is an anticonvulsant (or anti-epileptic) medicine that works by decreasing the nerve impulses which cause the seizures.  By controlling the frequency of seizures, it will help you go about your daily activities with more confidence. It helps reduce symptoms such as confusion, uncontrollable jerking movements, loss of awareness, and fear or anxiety.This medicine is not associated with any physical or psychological dependence (addiction) but it should not be stopped suddenly. It must be taken regularly as prescribed to be effective. Missing doses may trigger a seizure."
Olapin 2.5mg Tablet MD,"Treatment of SchizophreniaSchizophrenia is a mental disorder in which a persons thinking ability, feelings and behavior become abnormal. Olapin 2.5mg Tablet MD helps restore the chemical imbalances in the brain that are responsible for such changes. It improves thoughts, behavior and enhances the quality of life.Treatment of ManiaMania means extremely excited or elevated mood. Olapin 2.5mg Tablet MD helps calm the mood and relax the nerves. This stabilises the mood and prevents the symptoms of mania from recurring again. Taking Olapin 2.5mg Tablet MD will ensure that you have a better social life and are able to do daily activities more comfortably."
Enzolid 600 Tablet,"Treatment of Severe bacterial infectionsEnzolid 600 Tablet works by killing bacteria which can cause serious infections. It is used to treat many different types of bacterial infections such as infections of lungs (pneumonia), skin, and soft tissues. This medicine usually makes you feel better very quickly but you should continue taking it as prescribed even when you feel better to make sure that all bacteria are killed and do not become resistant."
Cortel LN Tablet,"Treatment of Hypertension (high blood pressure)Both of the medicines in this combination work to lower blood pressure but in different ways. Together they help to relax blood vessels and make it easier for your heart to pump blood around your body. This lowers blood pressure. If your blood pressure is controlled you are less at risk of having a heart attack, stroke, or kidney problems. The medicine must be taken regularly as prescribed to be effective. You do not usually feel any direct benefit from taking this medicine, but it works in the long term to keep you well."
Axcer  60mg Tablet,Prevention of heart attack and strokeAxcer  60mg Tablet is an antiplatelet medicine or blood thinner. It prevents blood from clotting inside the veins and arteries. This helps the blood flow freely around your body thereby preventing a heart attack or stroke (or deep vein thrombosis or pulmonary embolism). Take this medicine regularly and make appropriate lifestyle changes to achieve maximum benefits. It is often prescribed along with a low dose of aspirin which also helps to prevent blood from clotting.
Cypron Syrup,Appetite stimulantCypron Syrup stimulates appetite by improving metabolism of the body. It works by improving liver function which boosts your digestion process and thus makes you feel hungry. This helps your body produce enough energy to carry out your daily work without feeling fatigue. Taking Cypron Syrup helps improve the nutritional status in people who suffer from malnutrition. It also helps in increase in weight and height naturally by improving the sleep pattern. You may see an improvement in your appetite after taking Cypron Syrup in few weeks.
Acimol 100 mg/325 mg Tablet,"Pain reliefAcimol 100 mg/325 mg Tablet is used for short-term relief of pain, inflammation, and swelling in conditions that affect joints and muscles. Some of the conditions in which Acimol 100 mg/325 mg Tablet is used are rheumatoid arthritis, osteoarthritis, muscle pain, back pain, toothache, or pain in the ear and throat. Take it as it is prescribed to get the most benefit. Do not take more or longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
C Tax-O Dry Syrup,"Treatment of Bacterial infectionsC Tax-O Dry Syrup is an antibiotic medicine that works by killing the infection-causing bacteria in your body. It is effective for bacterial infections of the lungs, throat, and urinary tract among others. This medicine usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better. Stopping it early may make the infection come back and harder to treat."
Ivikem 12mg Tablet,"Treatment of Parasitic infectionsIvikem 12mg Tablet helps treat many parasitic infections of your intestinal tract, skin, and eyes. It works by paralyzing and killing the parasites causing the infection. This medicine usually makes you feel better quite quickly. However, you should continue taking it as long as it is prescribed even when you feel better, to make sure that all parasites are killed and do not become resistant."
Erafantrin 80mg/480mg Tablet,"Treatment of MalariaMalaria is an infection that is transmitted by mosquito bites. Erafantrin 80mg/480mg Tablet effectively treats malaria by killing the malarial parasites. However, it should not be used to prevent malaria and should be taken only when prescribed by a doctor. This medicine makes you feel better within a few days of treatment. But, if you have fever, chills, muscle pain, or headache soon after you finish your treatment, this could be a sign that you still are infected with malaria. Consult your doctor immediately if you notice any such symptoms.Refrain from taking any other medicines or antacids along with this medicine (unless advised by the doctor) as they may affect the absorption of this medicine. Do not use this medicine for treating any other condition without consulting your doctor."
GFH Nac 600mg Tablet,"Treatment of Respiratory disease with excessive mucusGFH Nac 600mg Tablet helps to loosen thick mucus, making it easier to cough out. This makes it easier for air to move in and out. It will relieve symptoms such as tightness in your chest, shortness of breath, wheezing, and coughing and help you carry out your daily activities more easily. This medicine is safe and effective. It usually starts to work within a few minutes and the effects can last up to several hours. Take it as prescribed by the doctor. Do not stop using it unless you are advised to by your doctor. Taking this medicine enables you to live your life more freely without worrying so much about things that set off your symptoms."
Quickcold & Flu Oral Suspension,"Treatment of Common coldQuickcold & Flu Oral Suspension is a combination of medicines that effectively relieves symptoms of the common cold such as blocked nose, runny nose, watery eyes, sneezing, and congestion or stuffiness. It helps to loosen thick mucus, making it easier to cough out. This makes it easier for air to move in and out. It shrinks the blood vessels and provides rapid relief that lasts for several hours.This medicine is safe and effective. It usually starts to work within a few minutes and the effects can last up to several hours. Take it as prescribed by the doctor. Do not stop using it unless you are advised to by your doctor. Taking this medicine enables you to live your life more freely without worrying so much about things that set off your symptoms."
AM Dopa 500mg Tablet,"Hypertension (high blood pressure)If your blood pressure is controlled you are less at risk of having a heart attack or stroke. AM Dopa 500mg Tablet reduces the chances of heart diseases and helps you remain healthier for longer. Take it regularly and make appropriate lifestyle changes, such as eating healthy and staying active, to maximize the effectiveness of this medicine."
Udzen 300mg Tablet,"Treatment of Primary biliary cirrhosisPrimary biliary cholangitis is a type of liver disease that gradually gets worse over time. It does not always have symptoms but, over time, it can lead to liver failure. Udzen 300mg Tablet is used to treat this condition and may be used by itself or with other medicines. It can help prevent or delay liver damage in most people, especially if you start taking it in the early stages. Once you start this treatment, you will likely be taking it for the rest of your life. To make the medicine more effective and for general health benefits, you can help yourself by stopping smoking, keeping a healthy weight, and not drinking too much alcohol.Treatment of Gallbladder stonesUdzen 300mg Tablet is a medicine that helps decreases the amount of cholesterol produced by your liver. It helps to break down cholesterol that has formed into stones in the gallbladder. It may take several months to completely dissolve the stone, so you need to take the medicine regularly and as long as the doctor has prescribed it for it to be effective. There might be other medicines and certain lifestyle changes that can reduce your cholesterol level and make gallstones less likely, consult with your doctor."
Ferium Injection,"Treatment of Iron deficiency anemiaAnaemia is a condition where your body does not have enough red blood cells to carry oxygen around your body. If you do not have enough iron from the foods you eat (because of poor nutrition or poor absorption of the mineral), your body will produce fewer red blood cells and can cause anaemia. Ferium Injection is an iron replacement product. It can boost your levels of red blood cells and reduce the symptoms of anaemia such as tiredness and weakness. This medicine is given as an injection by a doctor or nurse, usually in two doses 7 days apart. Make sure you attend all appointments. You should not have this medicine if your anaemia is not caused by a lack of iron."
Orazole 200mg/500mg Tablet,"Treatment of Bacterial & parasitic infectionsOrazole 200mg/500mg Tablet is a combination medicine which can be used to treat infections caused by bacteria and parasites. It works by killing and stopping the growth of the bacteria and parasites causing the infection. This medicine usually makes you feel better quite quickly. However, you should continue taking it as long as it is prescribed even if you feel better, to make sure that all bacteria and parasites are killed and do not become resistant."
Alastin 10mg Tablet,"Treatment of Allergic conditionsAlastin 10mg Tablet provides relief from symptoms such as blocked or runny nose, sneezing, and itchy or watery eyes. This will make it easier for you to go about your daily activities. It can also give relief from allergic reactions after insect bites and symptoms of hives and eczema such as rash, swelling, itching, and irritation.  This will improve the appearance of your skin and you may find that your mood and self-confidence improve as well. It rarely has any serious side effects and you may only need to take it on days you have symptoms. This medicine is fast-acting and has a long duration of action (24 hours). Moreover, Alastin 10mg Tablet may make you feel less sleepy as compared to other antihistamine medicines. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit."
Valparin Chrono 500 Tablet CR,"EpilepsyValparin Chrono 500 Tablet CR slows down electrical signals in the brain which cause seizures (fits). It can also help reduce symptoms such as confusion, uncontrollable jerking movements, loss of awareness, and fear or anxiety. The medicine can allow you to do some activities that you would otherwise be forbidden or scared to do (such as swimming and driving). It can take a few weeks for this medicine to work (because the dose has to be increased slowly) and during this time you may still have seizures. Do not stop using this medicine even if you feel well, until your doctor advises you to. Missing doses may trigger a seizure."
Hyxozin 25 Tablet,"Treatment of AnxietyHyxozin 25 Tablet reduces the symptoms of excessive anxiety and worry that are triggered only at the time of stressful conditions that last for a shorter duration. These could be job interviews, exams, stage performances, etc. It can effectively manage feelings of restlessness, tiredness, difficulty concentrating and feeling irritable. Hyxozin 25 Tablet will therefore help you go about your daily activities more easily and be more productive. Keep taking this medicine even if you feel well. Stopping suddenly can cause serious problems.Treatment of Skin conditions with inflammation & itchingHyxozin 25 Tablet is effective in treating skin conditions with inflammation and itching such as eczema, dermatitis and psoriasis. It works by reducing the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes."
Feno-TG 160mg Tablet,High cholesterolFeno-TG 160mg Tablet effectively reduces the high cholesterol levels in your body. Lowering the amount of cholesterol reduces the chances of heart diseases and helps you remain healthier for longer. Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well.
Triglimisave 1 Tablet SR,"Treatment of Type 2 diabetes mellitusTriglimisave 1 Tablet SR is a medicine that helps to control high blood glucose (sugar) levels. It helps get rid of extra glucose from your body through urine. It also improves the bodys response to the hormone insulin, which is responsible for regulating blood glucose (sugar) levels in our body. The insulin helps to lower your blood glucose levels and prevents them from rising after taking meals. You should keep taking it for as long as it is prescribed.Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life."
Walibur Infusion,"Treatment of Severe bacterial infectionsWalibur Infusion works by killing bacteria which can cause serious infections. It is used to treat many different types of bacterial infections such as infections of lungs (pneumonia), skin, and soft tissues. This medicine usually makes you feel better very quickly but you should continue taking it as prescribed even when you feel better to make sure that all bacteria are killed and do not become resistant."
Odimont-LC Kid Tablet,"Treatment of Sneezing and runny nose due to allergiesOdimont-LC Kid Tablet is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.Treatment of Hay feverHay fever, also called allergic rhinitis, causes cold-like signs and symptoms, such as a runny nose, itchy eyes, congestion, sneezing and sinus pressure. The only difference is that in hay fever, these symptoms are not produced due to a virus but are simply allergic responses of our body to allergens (allergy causing agents such as pollen). Odimont-LC Kid Tablet is used to provide relief from these symptoms of hay fever. It works by blocking the release of the chemical substance responsible for producing such allergy symptoms. Odimont-LC Kid Tablet is a safe medicine which helps treat hay fever and makes us feel at ease.Treatment of Allergic skin conditionsOdimont-LC Kid Tablet is effective in treating allergic skin conditions with inflammation and itching. It reduces the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes. Keep taking it for as long as it is prescribed to get the full benefits."
Ovigyn-DSR Tablet,"Female infertilityOvigyn-DSR Tablet contains progesterone, a female hormone that is important in the regulation of ovulation and menstruation. It is used to cause menstrual periods in women who have not reached menopause but are not having periods due to a lack of natural progesterone in the body. You should use the medicine as prescribed for it to be effective. You may be asked to continue with this treatment for a period after becoming pregnant."
Monotrate 20 Tablet,"Prevention of Angina (heart-related chest pain)Monotrate 20 Tablet reduces your risk of getting heart-related chest pain (angina attack). It does not treat an angina attack that has already begun and should not be used for this purpose. It works by relaxing and widening blood vessels in the heart. This makes it easier for blood to flow to the heart, so it gets more oxygen. This medicine thus helps to increase your ability to exercise and go about your daily life more easily and confidently. It should be taken regularly to be effective."
Knoz 200 Capsule,Treatment of Fungal infectionsKnoz 200 Capsule is an antifungal medicine. It is used to treat infections in different parts of the body caused by fungi. It works by killing and stopping the growth of fungi. This provides relief from various symptoms caused by the infection and speeds up the healing process. You should keep taking the medicine until you complete the dose even if you get better. This will prevent the infection from returning.
Kafenac 100mg Tablet SR,"Pain reliefKafenac 100mg Tablet SR belongs to a group of medicines called nonsteroidal anti-inflammatory drugs (NSAIDs). It is used for short-term relief of pain, inflammation, and swelling in conditions that affect joints and muscles. It works by blocking chemical messengers in the brain that tell us we have pain. It can help relieve pain in conditions like rheumatoid arthritis and osteoarthritis.Take it as it is prescribed to get the most benefit. Do not take more or longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Gpen 300mg Tablet,"Treatment of Neuropathic painGpen 300mg Tablet is used to treat long-lasting (chronic) pain caused by nerve damage due to diabetes, shingles, or spinal cord injury. It reduces pain and its associated symptoms such as mood changes, sleep problems, and tiredness. It is thought to work by interfering with pain signals that travel through the damaged nerves and the brain. Taking this medicine regularly will improve your physical and social functioning and overall quality of life. It takes a few weeks to work so you need to take it regularly even if you feel it is not doing any good. Once your symptoms have gone you should still keep taking the medicine until your doctor advises you to stop.Treatment of Epilepsy/SeizuresGpen 300mg Tablet belongs to a group of medicines called anticonvulsants which is used to treat some forms of epilepsy in adults. It is thought to work by slowing down nerve impulses in the brain which cause seizures (fits). It helps reduce symptoms such as confusion, uncontrollable jerking movements, loss of awareness, and fear or anxiety. It will help you go about your daily activities with more confidence and may allow you to do some activities that you would otherwise be forbidden or scared to do (such as swimming and driving). It can take a few weeks for this medicine to work and during this time you may still have seizures. Do not stop using this medicine even if you feel well until your doctor advises you to. Missing doses may trigger a seizure."
E Sylate 500mg Tablet,"BleedingE Sylate 500mg Tablet helps control excessive bleeding in various conditions such as surgeries, heavy bleeding during periods, etc. It prevents damage to clots, enhances clot formation and helps prevent complications of excessive bleeding such as hemorrhage. Take it as prescribed by the doctor to get the full benefits."
Bronco-NAC Tablet,"Treatment of Chronic obstructive pulmonary disease (COPD)Bronco-NAC Tablet is a combination of two medicines that helps the airways in your lungs stay open. They work by relaxing the muscles of these airways. This makes it easier for air to get in and out. This medicine also loosens thick mucus, making it easier to cough out. It will relieve symptoms such as tightness in your chest, shortness of breath, wheezing, and coughing and help you carry out your daily activities more easily. This medicine is safe and effective. It usually starts to work within a few minutes and the effects can last up to several hours. Take it as prescribed by the doctor. Do not stop using it unless you are advised to by your doctor."
Twagic Spas Tablet,"Pain during menstruationTwagic Spas Tablet relieves the pain due to muscle cramps during menstrual cycles (periods). It relaxes the muscles and prevents sudden contractions (spasms) of muscles. It also blocks chemical messengers in the brain that are responsible for pain sensation. This helps to treat abdominal pain (or stomach pain) as well as cramps, bloating and discomfort. Take it as it is prescribed to get the most benefit. You may also use a heating pad, take a hot water shower, avoid stress and try mild exercise for easing out the pain. Eventually, it will help you to go about your daily activities more easily and have a better, more active, quality of life."
Acelife Plus 500 mg/15 mg Tablet,"Pain reliefAcelife Plus 500 mg/15 mg Tablet is used to get relief from short term pain in conditions like muscle, back pain, toothache and menstrual pain. It works by reducing substances in the body that cause pain. This helps reduce discomfort and thus improve the quality of your life. Acelife Plus 500 mg/15 mg Tablet also contains an active ingredient called Serratiopeptidase, which is an enzyme that promotes the overall healing process and speeds up recovery. Take it as it is prescribed to get the most benefit. FeverAcelife Plus 500 mg/15 mg Tablet is also used to reduce a high temperature (fever). It works by blocking the release of certain chemical messengers that cause fever. It may be prescribed alone or in combination with another medicine. You should take it regularly as advised by your doctor."
Gexcal Softgel Capsule,"Calcium deficiencyGexcal Softgel Capsule is a nutritional supplement that is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It improves the level of calcium in the body. This helps keep your bones strong and healthy and reduce the risk of any bone disorders like osteoporosis. Calcium is also necessary for normal functioning of nerves, cells, muscle and heart."
Kimlon 10mg Injection,Treatment of Nutritional deficienciesKimlon 10mg Injection is a supplement of vitamin K. It is used to treat conditions caused by low levels of vitamin K in the body. Vitamin K is an important nutrient which is necessary for blood clotting and bone metabolism. It helps to treat and prevent unusual bleeding by increasing the production of blood clotting factors in the body.
Weltop 40mg Tablet,"Treatment of HeartburnHeartburn and acid reflux happens when a muscle above your stomach relaxes too much and allows stomach contents and acid to come back up into your esophagus and mouth. Weltop 40mg Tablet belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You can increase the efficiency of the medicine by making certain lifestyle changes. These include avoiding foods that trigger the symptoms, eating smaller more frequent meals, losing weight if you are overweight.Treatment of Gastroesophageal reflux disease (Acid reflux)GERD is a chronic (long-term) condition that is like having heartburn consistently rather than just occasionally. It happens because a muscle above your stomach relaxes too much and allows stomach contents to come back up into your esophagus and mouth. Weltop 40mg Tablet belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes and relieves the pain associated with heartburn and acid reflux. You should take it exactly as it is prescribed for it to be effective.Some simple lifestyle changes can help reduce the symptoms of GERD. Think about what foods trigger heartburn and try to avoid them; eat smaller more frequent meals; try to lose weight if you are overweight and try to find ways to relax. Do not eat within 3-4 hours of going to bed.Treatment of Peptic ulcer diseaseWeltop 40mg Tablet belongs to a group of medicines called proton pump inhibitors. It reduces the amount of acid your stomach makes which prevents further damage to the ulcer as it heals naturally. You may be given other medicines along with this medicine depending on what caused the ulcer. You need to keep taking the medicine as it is prescribed for it to be effective, even if the symptoms seem to disappear.Treatment of Zollinger-Ellison syndromeZollinger-Ellison syndrome is a rare disorder where excessive stomach acid production leads to multiple peptic ulcers. Symptoms include abdominal pain, diarrhea, and heartburn. Weltop 40mg Tablet By reducing the production of stomach acid, it helps alleviate symptoms such as abdominal pain, heartburn, and diarrhea. Esomeprazole also aids in the healing of peptic ulcers, which are common in this condition. By controlling the excessive acid secretion associated with Zollinger-Ellison syndrome, esomeprazole helps improve the overall digestive health and prevents complications such as gastrointestinal bleeding."
Atorvee AP 10mg/75mg Capsule,"Treatment of Prevention of heart attack and strokeAtorvee AP 10mg/75mg Capsule is a combination medicine that is used to prevent heart attack. It contains Atorvastatin that works by reducing the amount of bad cholesterol (LDL) and raising the amount of good cholesterol (HDL) in your blood. High levels of cholesterol can cause your blood vessels to narrow (atherosclerosis). Lowering the amount of cholesterol reduces the chances of heart diseases and stroke and helps you remain healthier for longer. Besides, it also contains a blood thinner, Aspirin, that prevents the formation of blood clots and also prevents the existing ones from growing bigger in size. Take it regularly and make appropriate lifestyle changes (such as eating healthy and staying active) to maximize the effectiveness of this medicine. Keep taking it even if you feel well."
Riomet OD 1000mg Tablet SR,"Treatment of Type 2 diabetes mellitusRiomet OD 1000mg Tablet SR belongs to a class of medicines called biguanides. It works by lowering glucose production in the liver, delaying the absorption of sugar (glucose) from the intestines, and increasing the body's sensitivity to insulin. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life."
Kidodent Mouth Wash Bubble Fruit,"Treatment of Dental cavitiesDental cavities refer to the damage to a tooth that can happen when harmful bacteria in your mouth make acids that attack the tooth's surface or enamel. If tooth decay is not treated, it can cause pain, infection, and even permanent loss of the affected tooth. Kidodent Mouth Wash Bubble Fruit treats dental cavities by killing harmful bacteria. It also makes teeth stronger and prevents dental cavities. This ensures that you have healthier teeth and improves oral health."
Nimocer 30mg Tablet,"Subarachnoid haemorrhageNimocer 30mg Tablet is a calcium channel blocker. It works by relaxing the narrowed blood vessels in the brain so that blood can flow more easily. This prevents further brain damage after bleeding around the brain. It is usually started as soon as possible after the start of bleeding in the brain. Take it as per the dose and duration suggested by your doctor. If you stop taking it suddenly, your condition may worsen."
Etorvel MR 60mg/4mg Tablet,"Treatment of Pain due to muscle spasmEtorvel MR 60mg/4mg Tablet is a combination medicine that contains a painkiller as well as a muscle relaxant. It is used to relieve pain, inflammation, and swelling in conditions that affect muscles. Also, it effectively relieves muscle stiffness or spasm, thereby improving muscle movement. It works by blocking chemical messengers in the brain that tell us we have pain.Take it as it is prescribed to get the most benefit. Do not take more or for longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life."
Fexomin 120mg Tablet,"Treatment of Sneezing and runny nose due to allergiesFexomin 120mg Tablet provides relief from symptoms such as sneezing, itching, watery eyes, and runny nose. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.Treatment of Allergic conditionsFexomin 120mg Tablet is effective in treating allergic skin conditions with inflammation and itching such as hives. It reduces the redness, rash, pain, or itchiness caused by your skins reaction to an irritant or allergen that may be causing the symptoms. It thus improves your self-esteem and confidence as your appearance changes. You may only need to take Fexomin 120mg Tablet on a day you have symptoms or on a regular basis when allergens are most prevalent. Consult with your doctor to get maximum benefits."
Welipred 8mg Tablet,"Treatment of Rheumatic disorderRheumatic disorder is an autoimmune condition where your bodys immune system (which usually fights bacteria and viruses) attacks your bodys own cells. Welipred 8mg Tablet stops that from happening and can relieve the symptoms of this condition such as pain, swelling, and stiffness in your joints. It can also slow down joint damage, reduce disability, and enable you to be as active for as long as possible. It can take several weeks or months to notice the effect of the medicine. You should continue taking it until your doctor says it is okay to stop using the medicine.Treatment of Systemic lupus erythematosus (SLE)Systemic lupus erythematosus (SLE) is an autoimmune disease. In this disease, the immune system of the body mistakenly attacks healthy tissue. It can affect the skin, joints, kidneys, brain, and other organs. Welipred 8mg Tablet prevents the release of substances in the body that cause inflammation. It lowers your immune systems response and reduces symptoms such as swelling, pain, itching and other allergic-type reactions.Treatment of Allergic conditionsWelipred 8mg Tablet is used to treat different inflammatory and allergic conditions including arthritis, lupus, psoriasis, ulcerative colitis which affect the skin, blood, eyes, lungs, stomach, and nervous system. It works by lowering your immune systems response to these conditions thereby reducing symptoms such as swelling, pain, itching and other allergic-type reactions.This medicine is given orally (by mouth). You should always take it as it has been prescribed for you. Do not stop taking it without your doctors advice. This can cause unpleasant withdrawal symptoms. Because this medicine weakens your immune system, you should avoid being near people who are ill or have infections.Treatment of Eye disordersWelipred 8mg Tablet helps relieve symptoms of eye infections such as redness, swelling, itching and watering of eyes. This medicine works by decreasing the production of certain chemicals that cause inflammation of the eyes. This will make it easier for you to go about your daily activities. Use it as prescribed to get the most benefit. If you see no improvement even after a week, talk to your doctor.Treatment of Skin disordersWelipred 8mg Tablet prevents the release of substances in the body that cause inflammation. It can be used to treat different inflammatory and allergic conditions of the skin such as eczema and psoriasis. It works by lowering your immune systems response to these conditions thereby relieving symptoms such as swelling, pain, itching and other allergic-type reactions."
